signature,timestamp,hour,day_of_week,day_name,compute_units,fee_lamports,fee_sol,instructions,success,slot
39hk754gFardzXre4y4ZouqDW3TjeEsguwAkRQSmex1pr6R4y7X6pPH1y2uPHB8Nzckya4LseB3wcdxmzMgK5LHW,2025-12-22 18:16:55+00:00,18,0,Monday,169376,5400,5.4e-06,5,False,388460032
4fJwRqw18URKM5xspwFeNTxJnnqaVAXCx9jS6ErK5BPYNMo3eJaZHnbTCgDoPuBaS7aK5wRNu8nHM78n4tusc5Ya,2025-12-22 18:16:55+00:00,18,0,Monday,170836,5400,5.4e-06,5,False,388460032
37uf5oDLimaNSCC3gjuLfuzfCFgasddwz6PWhfKmmKiPe5pqYDa5ihiM7kLJm5CoxJSXA7PSvsHU1oV531enVjDW,2025-12-22 18:16:55+00:00,18,0,Monday,111626,5001,5.001e-06,6,False,388460032
mh6NTFT6Ev4bAioRV7posXyobZqEUT9Md6QaPn7mzmYJ6UvqaVmUirns3DwEYEBoK2Lm7DfCTzqA81aGbtvhJ1w,2025-12-22 18:16:55+00:00,18,0,Monday,46620,12156,1.2156e-05,3,True,388460032
4KMczeyZp7RwDnCXQqceZRBbTJwRNw8aZjpkSzaAGozUoMj5G5gCGvTVqsCeAeg5Bq9VvezQc6afC7P1AXjKsRRA,2025-12-22 18:16:55+00:00,18,0,Monday,46620,16955,1.6955e-05,3,True,388460032
5njuTodAnmjnD61CaqfSckyTrATDZBubZZtLdDYGLabPzrXVDFSdn14rfcbm4Bzf9DzjPvBoSsLsWSpW2NPFXUYd,2025-12-22 18:16:55+00:00,18,0,Monday,46620,14499,1.4499e-05,3,True,388460032
4wsPJ2RwYsBNp2HoFCBDfdCCuvWLFMFL2eCapBgiUn9Y6M7SDnEd7uM4BN8DtMsQc8QBystDJJzJyQ3ZA5dSxWHq,2025-12-22 18:16:55+00:00,18,0,Monday,176016,10305,1.0305e-05,5,False,388460032
4HYgSMforLr9bHNKjYuEEuFXiJ9oV9aMmApqyxMiJBVo2k27KQmvstBgs6TTdhjvGYtvfLKa97X39Bu77uF7NVSC,2025-12-22 18:16:55+00:00,18,0,Monday,46620,14529,1.4529e-05,3,True,388460032
6eGTRHZ2xAxXnrxo6koA4JNJ2RztmugmSyk27HtQQEkCe4jD9HsHu6jNkHmaCajTcSagAAypdtvkWfbm64vHiZQ,2025-12-22 18:16:55+00:00,18,0,Monday,178470,5101,5.101e-06,3,False,388460032
4cJ4mmsscaLtkXXoJgZZjfXKRbiAhp1SCYfE6KPMS6XPQz2aaUbKmXk2iJT23stc7KQ16xoYr9FCKrDLk3MmoRvp,2025-12-22 18:16:55+00:00,18,0,Monday,187251,5138,5.138e-06,3,False,388460032
4ujwhiLQ4Ktj3ZxfCEPpKUDW2putYRnMTM3a42peuzrVrzRAF6pSKtXQBUtNQQfVo8PN9KJdxE7p4Q9rwxdtYP8L,2025-12-22 18:16:55+00:00,18,0,Monday,178541,5101,5.101e-06,3,False,388460032
4NyeQre6PFFjzNWJN8mKVB932VerfFPJKMMStPmfMibkRuFq4cEx5ArKDuQ41RxHTxhzFxt9rJJ3jgnyBGKcXSRm,2025-12-22 18:16:55+00:00,18,0,Monday,130823,5138,5.138e-06,3,False,388460032
5WfQDmrK8Zhe9WiW5JCuCNDtRRiLCSef2zxuapdBAmovU4RPPM47FuHoKYPYwyaC7zp1wJdFzAhNVkHLQ42rZdA5,2025-12-22 18:16:55+00:00,18,0,Monday,46620,16889,1.6889e-05,3,True,388460032
Nz2eakzi9R1nVK4iKGFbBzWNVeAg6BPKmHACqwjGzxRdABanCovX1viJNecNhFDX9ouB4hqG8NHF3pYP8G7kTEu,2025-12-22 18:16:55+00:00,18,0,Monday,46620,19099,1.9099e-05,3,True,388460032
